"label","X1","X2","cluster","clusternorm"
"$19",-17.8734077999446,6.72066236402647,1447,0.7235
"$193",-18.4516159862589,4.96358026567748,642,0.321
"$2",-18.9400542999243,4.95983926801638,770,0.385
"$20",-18.6186942005098,5.01942324228687,1334,0.667
"$200",-18.7001019106928,5.1997829678788,1334,0.667
"$20000",-15.6563456973357,6.94901477309563,1722,0.861
"$200000",-4.21140354652172,0.399659602013248,491,0.2455
"$21",-19.0431232555889,5.00588601649652,770,0.385
"$22",-18.5305983432687,4.93243724857233,981,0.4905
"$223",-18.8710603451984,5.02197941981127,770,0.385
"$23",-19.0581548309731,4.94084470973639,770,0.385
"$24",-18.9776462444025,4.99969813308749,770,0.385
"$243",-19.1257303618145,4.97534547595066,770,0.385
"$25",-18.7526505698799,4.99143418754727,770,0.385
"$250",-18.9628626139988,5.05822919258712,770,0.385
"$25000",-15.2712012883349,6.82193893696723,1722,0.861
"$250000",-18.3170266660575,4.75490453831925,981,0.4905
"$26",-18.9082888567461,5.21268176549536,770,0.385
"$3",-18.916085310616,4.96321826436927,770,0.385
"$30",-18.8793920814957,5.02977140436448,770,0.385
"$300",-18.8732430237553,5.1994556310465,770,0.385
"$31",-18.3960805763006,4.28606642282416,1914,0.957
"$32",-18.9378230107329,5.01537166478406,770,0.385
"$35",-18.8706848415936,4.94696532600237,770,0.385
"$35000",-15.1673627958757,6.80662066378413,1722,0.861
"$366",-18.2973135209086,5.35886244801548,981,0.4905
"$37",-18.9670450189807,5.05266340125358,770,0.385
"$4",-18.8692197874006,5.01059700699956,770,0.385
"$40",-18.9604661718898,5.01897930566002,770,0.385
"$400",-18.8802285464584,5.09291331393116,770,0.385
"$43",-18.5071048343232,5.34594564215195,1334,0.667
"$45",-18.5265989249382,5.07933998080199,1334,0.667
"$46",-18.8684036407414,4.91609002995907,770,0.385
"$47",-18.8473775598872,4.97537879467209,770,0.385
"$48",-26.4566577502542,1.66778373370516,1914,0.957
"$5",-18.9232823877742,5.00418599864324,770,0.385
"$50",-18.819164882983,5.03480423292415,770,0.385
"$500",-18.9051025535351,5.00297402280334,770,0.385
"$50000",-16.0870744071422,7.11951286039561,245,0.1225
"$51",-18.811469936373,5.00764681885316,981,0.4905
"$53",-18.3229928404282,4.8927959574947,1334,0.667
"$6",-18.8929473817392,5.02370040376996,770,0.385
"$64",-18.7798775697531,4.94307124557468,470,0.235
"$65",-18.9057865981148,4.99874688446675,770,0.385
